canonical_id,canonical_school,canonical_conference,baseballr_team_id,baseballr_team_name,baseballr_conference,baseballr_conference_id,baseballr_season_id,match_type,status,notes
BSB_EAST_CAROLINA,East Carolina,AAC,196,East Carolina,AAC,823,16580,exact_school,matched,
BSB_BOSTON_COLLEGE,Boston College,ACC,67,Boston College,ACC,821,16580,exact_school,matched,
BSB_CAL,Cal,ACC,107,California,Pac-12,905,16580,manual_override,matched,
BSB_CLEMSON,Clemson,ACC,147,Clemson,ACC,821,16580,exact_school,matched,
BSB_DUKE,Duke,ACC,193,Duke,ACC,821,16580,exact_school,matched,
BSB_FLORIDA_STATE,Florida State,ACC,234,Florida St.,ACC,821,16580,manual_override,matched,
BSB_GEORGIA_TECH,Georgia Tech,ACC,255,Georgia Tech,ACC,821,16580,exact_school,matched,
BSB_LOUISVILLE,Louisville,ACC,367,Louisville,ACC,821,16580,exact_school,matched,
BSB_MIAMI,Miami,ACC,415,Miami (FL),ACC,821,16580,manual_override,matched,
BSB_NC_STATE,NC State,ACC,490,NC State,ACC,821,16580,exact_school,matched,
BSB_NORTH_CAROLINA,North Carolina,ACC,457,North Carolina,ACC,821,16580,exact_school,matched,
BSB_NOTRE_DAME,Notre Dame,ACC,513,Notre Dame,ACC,821,16580,exact_school,matched,
BSB_PITT,Pitt,ACC,545,Pittsburgh,ACC,821,16580,manual_override,matched,
BSB_STANFORD,Stanford,ACC,674,Stanford,Pac-12,905,16580,exact_school,matched,
BSB_VIRGINIA,Virginia,ACC,746,Virginia,ACC,821,16580,exact_school,matched,
BSB_VIRGINIA_TECH,Virginia Tech,ACC,742,Virginia Tech,ACC,821,16580,exact_school,matched,
BSB_WAKE_FOREST,Wake Forest,ACC,749,Wake Forest,ACC,821,16580,exact_school,matched,
BSB_LIBERTY,Liberty,ASUN,355,Liberty,CUSA,24312,16580,exact_school,matched,
BSB_ARIZONA,Arizona,Big 12,29,Arizona,Pac-12,905,16580,exact_school,matched,
BSB_ARIZONA_STATE,Arizona State,Big 12,28,Arizona St.,Pac-12,905,16580,manual_override,matched,
BSB_BYU,BYU,Big 12,77,BYU,Big 12,25354,16580,exact_school,matched,
BSB_BAYLOR,Baylor,Big 12,51,Baylor,Big 12,25354,16580,exact_school,matched,
BSB_CINCINNATI,Cincinnati,Big 12,140,Cincinnati,Big 12,25354,16580,exact_school,matched,
BSB_HOUSTON,Houston,Big 12,288,Houston,Big 12,25354,16580,exact_school,matched,
BSB_KANSAS,Kansas,Big 12,328,Kansas,Big 12,25354,16580,exact_school,matched,
BSB_KANSAS_STATE,Kansas State,Big 12,327,Kansas St.,Big 12,25354,16580,manual_override,matched,
BSB_OKLAHOMA_STATE,Oklahoma State,Big 12,521,Oklahoma St.,Big 12,25354,16580,manual_override,matched,
BSB_TCU,TCU,Big 12,698,TCU,Big 12,25354,16580,exact_school,matched,
BSB_TEXAS_TECH,Texas Tech,Big 12,700,Texas Tech,Big 12,25354,16580,exact_school,matched,
BSB_UCF,UCF,Big 12,128,UCF,Big 12,25354,16580,exact_school,matched,
BSB_UTAH,Utah,Big 12,732,Utah,Pac-12,905,16580,exact_school,matched,
BSB_WEST_VIRGINIA,West Virginia,Big 12,768,West Virginia,Big 12,25354,16580,exact_school,matched,
BSB_ILLINOIS,Illinois,Big Ten,301,Illinois,Big Ten,827,16580,exact_school,matched,
BSB_INDIANA,Indiana,Big Ten,306,Indiana,Big Ten,827,16580,exact_school,matched,
BSB_IOWA,Iowa,Big Ten,312,Iowa,Big Ten,827,16580,exact_school,matched,
BSB_MARYLAND,Maryland,Big Ten,392,Maryland,Big Ten,827,16580,exact_school,matched,
BSB_MICHIGAN,Michigan,Big Ten,418,Michigan,Big Ten,827,16580,exact_school,matched,
BSB_MICHIGAN_STATE,Michigan State,Big Ten,416,Michigan St.,Big Ten,827,16580,manual_override,matched,
BSB_MINNESOTA,Minnesota,Big Ten,428,Minnesota,Big Ten,827,16580,exact_school,matched,
BSB_NEBRASKA,Nebraska,Big Ten,463,Nebraska,Big Ten,827,16580,exact_school,matched,
BSB_NORTHWESTERN,Northwestern,Big Ten,509,Northwestern,Big Ten,827,16580,exact_school,matched,
BSB_OHIO_STATE,Ohio State,Big Ten,518,Ohio St.,Big Ten,827,16580,manual_override,matched,
BSB_OREGON,Oregon,Big Ten,529,Oregon,Pac-12,905,16580,exact_school,matched,
BSB_PENN_STATE,Penn State,Big Ten,539,Penn St.,Big Ten,827,16580,manual_override,matched,
BSB_PURDUE,Purdue,Big Ten,559,Purdue,Big Ten,827,16580,exact_school,matched,
BSB_RUTGERS,Rutgers,Big Ten,587,Rutgers,Big Ten,827,16580,exact_school,matched,
BSB_UCLA,UCLA,Big Ten,110,UCLA,Pac-12,905,16580,exact_school,matched,
BSB_USC,USC,Big Ten,657,Southern California,Pac-12,905,16580,manual_override,matched,
BSB_WASHINGTON,Washington,Big Ten,756,Washington,Pac-12,905,16580,exact_school,matched,
BSB_UC_SANTA_BARBARA,UC Santa Barbara,Big West,104,UC Santa Barbara,Big West,904,16580,exact_school,matched,
BSB_DALLAS_BAPTIST,Dallas Baptist,C-USA,1045,DBU,CUSA,24312,16580,manual_override,matched,
BSB_OREGON_STATE,Oregon State,Pac-12,528,Oregon St.,Pac-12,905,16580,manual_override,matched,
BSB_ALABAMA,Alabama,SEC,8,Alabama,SEC,911,16580,exact_school,matched,
BSB_ARKANSAS,Arkansas,SEC,31,Arkansas,SEC,911,16580,exact_school,matched,
BSB_AUBURN,Auburn,SEC,37,Auburn,SEC,911,16580,exact_school,matched,
BSB_FLORIDA,Florida,SEC,235,Florida,SEC,911,16580,exact_school,matched,
BSB_GEORGIA,Georgia,SEC,257,Georgia,SEC,911,16580,exact_school,matched,
BSB_KENTUCKY,Kentucky,SEC,334,Kentucky,SEC,911,16580,exact_school,matched,
BSB_LSU,LSU,SEC,365,LSU,SEC,911,16580,exact_school,matched,
BSB_MISS_STATE,Mississippi State,SEC,430,Mississippi St.,SEC,911,16580,manual_override,matched,
BSB_MISSOURI,Missouri,SEC,434,Missouri,SEC,911,16580,exact_school,matched,
BSB_OKLAHOMA,Oklahoma,SEC,522,Oklahoma,Big 12,25354,16580,exact_school,matched,
BSB_OLE_MISS,Ole Miss,SEC,433,Ole Miss,SEC,911,16580,exact_school,matched,
BSB_SOUTH_CAROLINA,South Carolina,SEC,648,South Carolina,SEC,911,16580,exact_school,matched,
BSB_TENNESSEE,Tennessee,SEC,694,Tennessee,SEC,911,16580,exact_school,matched,
BSB_TEXAS,Texas,SEC,703,Texas,Big 12,25354,16580,exact_school,matched,
BSB_TEXAS_AM,Texas A&M,SEC,697,Texas A&M,SEC,911,16580,exact_school,matched,
BSB_VANDERBILT,Vanderbilt,SEC,736,Vanderbilt,SEC,911,16580,exact_school,matched,
BSB_COASTAL_CAROLINA,Coastal Carolina,Sun Belt,149,Coastal Carolina,Sun Belt,818,16580,exact_school,matched,
BSB_LOUISIANA,Louisiana,Sun Belt,671,Louisiana,Sun Belt,818,16580,exact_school,matched,
BSB_GONZAGA,Gonzaga,WCC,260,Gonzaga,WCC,922,16580,exact_school,matched,
BSB_SAN_DIEGO,San Diego,WCC,627,San Diego,WCC,922,16580,exact_school,matched,
BSB_SMU,SMU,ACC,NA,SMU,NA,NA,NA,exact_school,unmatched,Not found in baseballr D1 team registry for this year (possible no varsity program).
BSB_SYRACUSE,Syracuse,ACC,NA,Syracuse,NA,NA,NA,exact_school,unmatched,Not found in baseballr D1 team registry for this year (possible no varsity program).
BSB_COLORADO,Colorado,Big 12,NA,Colorado,NA,NA,NA,exact_school,unmatched,Not found in baseballr D1 team registry for this year (possible no varsity program).
BSB_IOWA_STATE,Iowa State,Big 12,NA,Iowa State,NA,NA,NA,exact_school,unmatched,Not found in baseballr D1 team registry for this year (possible no varsity program).
BSB_WISCONSIN,Wisconsin,Big Ten,NA,Wisconsin,NA,NA,NA,exact_school,unmatched,Not found in baseballr D1 team registry for this year (possible no varsity program).
